,tanggal,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa
491,2020-02,GUNUNG SAHARI SELATAN,60.0,0
492,2020-02,GUNUNG SAHARI UTARA,30.0,0
493,2020-02,HALIM PERDANA KUSUMA,35.0,0
494,2020-02,JATI,35.0,0
495,2020-02,JATI PADANG,35.0,0
496,2020-02,JATI PULO,25.0,0
497,2020-02,JATINEGARA,35.0,0
498,2020-02,JATINEGARA KAUM,40.0,0
499,2020-02,JELAMBAR,12.5,0
500,2020-02,JOHAR BARU,40.0,0
501,2020-02,KALIDERES,10.0,0
502,2020-02,KAMAL,10.0,0
503,2020-02,KAMPUNG MELAYU,80.0,2185
504,2020-02,KAMPUNG RAWA,20.0,0
505,2020-02,KAPUK,20.0,0
506,2020-02,KAPUK MUARA,37.5,0
507,2020-02,KARANG ANYAR,20.0,0
508,2020-02,KARET,25.0,0
509,2020-02,KARET SEMANGGI,45.0,0
510,2020-02,KARET TENGSIN,60.0,0
511,2020-02,KAYU PUTIH,55.0,8103
512,2020-02,KEBAGUSAN,22.5,0
513,2020-02,KEBAYORAN LAMA SELATAN,20.0,0
514,2020-02,KEBON BARU,35.0,420
515,2020-02,KEBON BAWANG,20.0,0
516,2020-02,KEBON JERUK,20.0,0
517,2020-02,KEBON KELAPA,20.0,0
518,2020-02,KEBON KOSONG,30.0,0
519,2020-02,KEBON MANGGIS,40.0,1157
520,2020-02,KEBON MELATI,42.5,0
521,2020-02,KEBON PALA,85.0,0
522,2020-02,KEBON SIRIH,55.0,0
523,2020-02,KEDAUNG KALI ANGKE,30.0,0
524,2020-02,KEDOYA SELATAN,32.5,0
525,2020-02,KEDOYA UTARA,35.0,0
526,2020-02,KELAPA DUA WETAN,22.5,0
527,2020-02,KELAPA GADING BARAT,27.5,0
528,2020-02,KELAPA GADING TIMUR,35.0,271
529,2020-02,KEMANGGISAN,25.0,0
530,2020-02,KEMAYORAN,20.0,0
531,2020-02,KEMBANGAN SELATAN,40.0,0
532,2020-02,KEMBANGAN UTARA,55.0,0
533,2020-02,KENARI,20.0,0
534,2020-02,KLENDER,45.0,0
535,2020-02,KOTA BAMBU SELATAN,30.0,85
536,2020-02,KOTA BAMBU UTARA,25.0,0
537,2020-02,KRAMAT,30.0,0
538,2020-02,KRAMAT PELA,15.0,0
539,2020-02,KUNINGAN BARAT,20.0,0
540,2020-02,LUBANG BUAYA,35.0,0
541,2020-02,MAKASAR,90.0,745
542,2020-02,MALAKA JAYA,60.0,0
543,2020-02,MALAKA SARI,50.0,0
544,2020-02,MAMPANG PRAPATAN,6.0,0
545,2020-02,MANGGA BESAR,35.0,0
546,2020-02,MANGGA DUA SELATAN,30.0,0
547,2020-02,MANGGARAI,45.0,15
548,2020-02,MANGGARAI SELATAN,25.0,0
549,2020-02,MARUNDA,32.5,417
550,2020-02,MENTENG,35.0,0
551,2020-02,MENTENG ATAS,20.0,0
552,2020-02,MENTENG DALAM,70.0,0
553,2020-02,PADEMANGAN BARAT ,20.0,0
554,2020-02,PADEMANGAN TIMUR,17.5,0
555,2020-02,PAL MERIAM,35.0,0
556,2020-02,PASAR BARU,25.0,0
557,2020-02,PASAR MANGGIS,40.0,0
558,2020-02,PASAR MINGGU,15.0,0
559,2020-02,PEGADUNGAN,32.5,0
560,2020-02,PEGANGSAAN DUA,45.0,182
561,2020-02,PEJAGALAN,32.5,250
562,2020-02,PEJATEN TIMUR,75.0,329
563,2020-02,PEKAYON,17.5,0
564,2020-02,PEKOJAN,40.0,0
565,2020-02,PELA MAMPANG,20.0,0
566,2020-02,PENGADEGAN,100.0,121
567,2020-02,PENGGILINGAN,30.0,0
568,2020-02,PENJARINGAN,40.0,0
569,2020-02,PETAMBURAN,65.0,0
570,2020-02,PETOGOGAN,22.5,0
571,2020-02,PETUKANGAN SELATAN,20.0,0
572,2020-02,PINANG RANTI,60.0,0
573,2020-02,PISANGAN BARU,35.0,0
